AssociationId,Region,Market,Store,Date,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville - 2012-07-01,Central,Commercial,Louisville,2012-07-01,109673.0,20100,68.0,531.0,1.03,9.96,4.71e-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID6.1339,No,0.5,,0.02
Louisville - 2012-07-02,Central,Commercial,Louisville,2012-07-02,131791.0,20100,34.0,476.0,0.41,8.65,4.71e-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID8.5144,No,,,
Louisville - 2012-07-03,Central,Commercial,Louisville,2012-07-03,134711.0,20100,42.0,578.0,0.31,8.96,4.71e-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID20.0807,No,,,
Louisville - 2012-07-04,Central,Commercial,Louisville,2012-07-04,97640.0,20100,54.0,569.0,0.83,10.08,4.71e-05,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID12.3747,No,,,
Louisville - 2012-07-05,Central,Commercial,Louisville,2012-07-05,129538.0,20100,62.0,486.0,0.51,9.8,4.71e-05,July In Store Credit Card Signup Discount; ID5.3119,No,,,
Louisville - 2012-07-06,Central,Commercial,Louisville,2012-07-06,145286.0,20100,72.0,551.0,0.43,12.04,4.71e-05,July In Store Credit Card Signup Discount; ID36.6079,No,,,
Louisville - 2012-07-07,Central,Commercial,Louisville,2012-07-07,132983.0,20100,63.0,821.0,0.76,8.43,4.71e-05,July In Store Credit Card Signup Discount; ID4.3752,No,,750.0,
Louisville - 2012-07-08,Central,Commercial,Louisville,2012-07-08,120072.0,20100,67.0,541.0,0.59,11.07,0.000693728,July In Store Credit Card Signup Discount; ID20.3276,No,,,
Louisville - 2012-07-09,Central,Commercial,Louisville,2012-07-09,113811.0,20100,41.0,392.0,0.61,9.31,0.000693728,July In Store Credit Card Signup Discount; ID13.2671,No,,,
Louisville - 2012-07-10,Central,Commercial,Louisville,2012-07-10,108724.0,20100,39.0,392.0,0.33,6.98,0.000693728,July In Store Credit Card Signup Discount; ID44.6988,No,,,
Louisville - 2012-07-11,Central,Commercial,Louisville,2012-07-11,129067.0,20100,55.0,420.0,0.49,11.0,0.000693728,July In Store Credit Card Signup Discount; ID55.7791,No,,,
Louisville - 2012-07-12,Central,Commercial,Louisville,2012-07-12,119159.0,20100,52.0,457.0,0.92,9.05,0.000693728,July In Store Credit Card Signup Discount; ID47.8566,No,,,
Louisville - 2012-07-13,Central,Commercial,Louisville,2012-07-13,119321.0,20100,62.0,477.0,0.86,7.65,0.000693728,July In Store Credit Card Signup Discount; ID63.3107,No,,,
Louisville - 2012-07-14,Central,Commercial,Louisville,2012-07-14,134283.0,20100,59.0,617.0,0.5,9.79,0.000693728,July In Store Credit Card Signup Discount; ID44.1093,No,,1250.0,
Louisville - 2012-07-15,Central,Commercial,Louisville,2012-07-15,132166.0,20100,76.0,467.0,0.9,7.08,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID75.4052,No,,,
Louisville - 2012-07-16,Central,Commercial,Louisville,2012-07-16,124665.0,20100,41.0,402.0,0.65,9.61,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID56.8838,No,,,
Louisville - 2012-07-17,Central,Commercial,Louisville,2012-07-17,102778.0,20100,31.0,420.0,0.17,7.65,0.001542543,July In Store Credit Card Signup Discount; Summer Swim Mailer ID71.9272,No,,,
